文件名,文件1长度,文件2长度,长度差,耗时(秒),余弦相似度
2003 - agentmom.pdf.md,13277,697,12580,1.94,0.767571
2001 - space fractions.pdf.md,20005,819,19186,2.67,0.680181
2004 - philips.doc.md,17961,508,17453,2.66,0.687163
2004 - colorcast.pdf.md,31076,832,30244,3.63,0.730361
2003 - qheadache.pdf.md,19480,750,18730,3.63,0.616515
2002 - evla corr.pdf.md,35755,1104,34651,4.74,0.749481
0000 - inventory.pdf.md,27500,879,26621,4.76,0.751194
2001 - libra.doc.md,35243,980,34263,6.12,0.779152
1999 - dii.htm.md,36642,782,35860,6.13,0.672237
0000 - cctns.pdf.md,36716,779,35937,7.58,0.659612
2001 - esa.pdf.md,37617,949,36668,7.57,0.800801
2002 - evla back.pdf.md,43083,807,42276,9.31,0.756252
2001 - ctc network.pdf.md,44742,847,43895,9.32,0.696992
1998 - themas.pdf.md,47511,769,46742,11.47,0.770854
2004 - sprat.pdf.md,51225,816,50409,11.44,0.6485
2004 - e-procurement.rtf.md,48446,1124,47322,13.39,0.708693
2004 - ijis.doc.md,61730,835,60895,13.39,0.717758
2004 - grid bgc.pdf.md,52420,690,51730,15.58,0.668485
0000 - gamma j.pdf.md,52527,842,51685,15.6,0.584796
2001 - beyond.pdf.md,78426,987,77439,18.4,0.690562
1999 - multi-mahjong.html.md,44169,834,43335,18.41,0.761439
2004 - watcom gui.pdf.md,76638,935,75703,22.36,0.766933
2003 - tachonet.pdf.md,75730,351,75379,22.37,0.682566
2004 - jse.doc.md,81467,888,80579,24.61,0.707235
2004 - rlcs.pdf.md,126210,1176,125034,28.03,0.705331
2001 - hats.pdf.md,148284,986,147298,33.0,0.615013
2005 - grid 3D.pdf.md,17783,806,16977,35.86,0.680947
2005 - clarus low.pdf.md,158446,1035,157411,36.59,0.756782
2005 - clarus high.doc.md,102298,916,101382,42.12,0.62264
2005 - nenios.html.md,20713,762,19951,38.5,0.696231
2005 - microcare.pdf.md,44416,780,43636,39.47,0.749447
2005 - phin.pdf.md,41355,897,40458,39.96,0.700372
2005 - triangle.pdf.md,36728,790,35938,38.85,0.788617
2005 - pontis.pdf.md,131174,1002,130172,43.27,0.74922
2005 - znix.pdf.md,23932,894,23038,41.9,0.797357
2006 - stewards.pdf.md,77667,924,76743,44.7,0.763491
2007 - central trading system.pdf.md,19133,801,18332,43.3,0.672462
2007 - e-store.doc.md,19890,793,19097,47.44,0.69784
2001 - elsfork.pdf.md,128727,824,127903,55.02,0.690979
2007 - get real 0.2.pdf.md,21349,581,20768,48.76,0.657515
2007 - eirene fun 7.pdf.md,139250,1190,138060,50.93,0.60258
2007 - mdot.pdf.md,111167,768,110399,52.74,0.732802
2007 - puget sound.pdf.md,28510,787,27723,50.83,0.722049
2008 - caiso.pdf.md,17612,881,16731,52.66,0.783114
2007 - nlm.doc.md,144929,820,144109,54.86,0.702894
2007 - water use.pdf.md,103649,884,102765,57.0,0.736729
2007 - ertms.pdf.md,61166,925,60241,63.28,0.729884
2008 - keepass.pdf.md,50152,967,49185,57.38,0.735765
2008 - peering.pdf.md,42729,934,41795,57.38,0.716694
2008 - virtual ed.doc.md,69661,796,68865,53.4,0.708556
2004 - watcom.pdf.md,105495,884,104611,80.4,0.699894
2008 - vub.pdf.md,50023,885,49138,58.53,0.76449
2009 - gaia.pdf.md,25823,788,25035,50.16,0.790499
2009 - email.pdf.md,29722,1066,28656,55.12,0.73225
1995 - gemini.pdf.md,158131,1542,156589,88.15,0.697288
2009 - inventory 2.0.pdf.md,117779,751,117028,53.95,0.708927
2009 - library.doc.md,36049,371,35678,53.95,0.674186
2009 - model manager.pdf.md,24265,926,23339,50.35,0.776038
2009 - peazip.pdf.md,56502,729,55773,54.05,0.758489
2008 - viper.doc.md,130001,799,129202,73.82,0.694369
2009 - library.pdf.md,29597,864,28733,54.06,0.668634
2009 - video search.pdf.md,20761,855,19906,53.46,0.699789
2009 - warc III.pdf.md,26244,986,25258,53.46,0.800917
2010 - fishing.pdf.md,106842,908,105934,52.58,0.74993
2010 - blit draft.pdf.md,20213,784,19429,52.58,0.631559
2010 - gparted.pdf.md,36608,662,35946,51.41,0.744818
2010 - home 1.3.pdf.md,28438,720,27718,51.38,0.541602
2010 - split merge.pdf.md,42670,641,42029,48.54,0.751108
2010 - mashboot.pdf.md,21852,729,21123,48.54,0.826725
2011 - opensg 0.1.doc.md,10693,785,9908,43.49,0.723323
