文件名,srs生成耗时,简单平均分,加权平均分
0000 - cctns.pdf.md,116.88,0.578,0.5142
0000 - gamma j.pdf.md,79.25,0.6429,0.6
0000 - inventory.pdf.md,89.9,0.8048,0.7917
1995 - gemini.pdf.md,101.41,0.7,0.66
1998 - themas.pdf.md,88.96,0.6302,0.6322
1999 - dii.htm.md,108.26,0.7,0.65
1999 - multi-mahjong.html.md,101.39,0.6714,0.62
1999 - tcs.pdf.md,108.3,0.6143,0.555
2000 - nasa x38.doc.md,75.97,0.5857,0.535
2001 - beyond.pdf.md,139.23,0.8571,0.845
2001 - ctc network.pdf.md,137.42,0.5857,0.52
2001 - elsfork.pdf.md,126.18,0.773,0.7372
2001 - esa.pdf.md,108.84,0.785,0.774
2001 - hats.pdf.md,126.33,0.6286,0.595
2001 - libra.doc.md,109.42,0.8857,0.875
2001 - npac.doc.md,112.22,"ERROR: API请求失败，已尝试 6 次（1次初始 + 5 次重试）。最后一次错误: BadRequestError: Error code: 400 - {'error': {'message': ""This model's maximum context length is 131072 tokens. However, you requested 133810 tokens (133810 in the messages, 0 in the completion). Please reduce the length of the messages or completion."", 'type': 'invalid_request_error', 'param': '', 'code': 'invalid_request_error'}}","ERROR: API请求失败，已尝试 6 次（1次初始 + 5 次重试）。最后一次错误: BadRequestError: Error code: 400 - {'error': {'message': ""This model's maximum context length is 131072 tokens. However, you requested 133810 tokens (133810 in the messages, 0 in the completion). Please reduce the length of the messages or completion."", 'type': 'invalid_request_error', 'param': '', 'code': 'invalid_request_error'}}"
2001 - space fractions.pdf.md,97.67,0.681,0.6683
2001 - telescope.pdf.md,105.24,0.4714,0.43
2002 - evla back.pdf.md,130.85,0.5656,0.5069
2002 - evla corr.pdf.md,131.77,0.713,0.6782
2002 - sce api.pdf.md,128.28,0.6095,0.5483
2003 - agentmom.pdf.md,99.97,0.6657,0.642
2003 - pnnl.pdf.md,131.57,0.7143,0.67
2003 - qheadache.pdf.md,103.5,0.6447,0.6126
2003 - tachonet.pdf.md,79.18,0.5083,0.4266
2004 - colorcast.pdf.md,91.75,0.8704,0.8336
2004 - e-procurement.rtf.md,90.52,0.6378,0.5729
2004 - grid bgc.pdf.md,115.93,0.4571,0.395
2004 - ijis.doc.md,111.45,0.7196,0.6825
2004 - jse.doc.md,99.73,0.6013,0.5518
2004 - philips.doc.md,119.07,0.7536,0.69
2004 - rlcs.pdf.md,80.71,0.6286,0.595
2004 - sprat.pdf.md,123.95,0.6541,0.5857
2004 - watcom gui.pdf.md,145.3,0.6917,0.6333
2004 - watcom.pdf.md,104.02,0.8143,0.795
2005 - clarus high.doc.md,110.58,0.7714,0.755
2005 - clarus low.pdf.md,90.43,0.4929,0.425
2005 - grid 3D.pdf.md,80.84,0.7125,0.7025
2005 - microcare.pdf.md,101.53,0.7,0.67
2005 - nenios.html.md,80.83,0.59,0.551
2005 - phin.pdf.md,128.45,0.6798,0.6367
2005 - pontis.pdf.md,120.19,0.6524,0.5783
2005 - triangle.pdf.md,88.32,0.7932,0.7704
2005 - znix.pdf.md,72.22,0.6333,0.6167
2006 - eirene sys 15.pdf.md,105.95,0.7429,0.71
2006 - stewards.pdf.md,98.29,0.7621,0.737
2007 - central trading system.pdf.md,106.57,0.8825,0.8656
2007 - e-store.doc.md,76.7,0.6714,0.61
2007 - eirene fun 7.pdf.md,113.45,0.6,0.555
2007 - ertms.pdf.md,107.87,0.65,0.6225
2007 - get real 0.2.pdf.md,84.0,0.7198,0.6927
2007 - mdot.pdf.md,94.85,0.5714,0.51
2007 - nde.pdf.md,88.85,0.5274,0.4783
2007 - nlm.doc.md,124.42,0.6655,0.6117
2007 - puget sound.pdf.md,88.93,0.6619,0.6017
2007 - water use.pdf.md,91.9,0.6214,0.585
2008 - caiso.pdf.md,126.68,0.7115,0.6812
2008 - keepass.pdf.md,111.35,0.7602,0.7193
2008 - peering.pdf.md,136.97,0.8571,0.845
2008 - viper.doc.md,97.0,0.6857,0.635
2008 - virtual ed.doc.md,85.9,0.6929,0.63
2008 - vub.pdf.md,91.52,0.8083,0.8016
2009 - email.pdf.md,87.51,0.5549,0.4968
2009 - gaia.pdf.md,73.42,0.7036,0.6775
2009 - inventory 2.0.pdf.md,105.64,0.5896,0.5005
2009 - library.doc.md,65.04,0.3306,0.2279
2009 - library.pdf.md,87.71,0.6485,0.6278
2009 - model manager.pdf.md,88.24,0.6048,0.6117
2009 - peazip.pdf.md,78.06,0.6519,0.5927
2009 - peppol.pdf.md,122.24,0.7286,0.705
2009 - video search.pdf.md,91.72,0.6626,0.6427
2009 - warc III.pdf.md,86.4,0.5556,0.5028
2010 - blit draft.pdf.md,75.78,0.4825,0.4206
2010 - fishing.pdf.md,105.41,0.6143,0.58
2010 - gparted.pdf.md,117.9,0.6994,0.6542
2010 - home 1.3.pdf.md,100.82,0.6652,0.6263
2010 - mashboot.pdf.md,75.5,0.7274,0.6983
2010 - split merge.pdf.md,98.92,0.773,0.7422
2011 - opensg 0.1.doc.md,101.7,0.7903,0.7589
